Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
34000,1.4120978,0.0002802003,-0.040853802,0.03164205,0.44294447,0.3090788386762142,0.21720912819728255,3.769070915877819,0.30907881958410144,813.0
36000,1.4121858,0.00027900035,-0.05836909,0.03169279,0.49271116,-0.00483948178589344,0.22953855525702238,3.9036996960639954,-0.0048394829500466585,681.5
38000,1.4130384,0.0002778003,-0.022127729,0.03401694,0.5148001,5.522000219672918,1.1631017103791237,14.438315242528915,5.522000188939273,2482.0
40000,1.4115169,0.0002766003,0.0002777147,0.033835746,0.53386056,2.8781837187707424,1.1806653141975403,11.32722195982933,2.878183725522831,2084.0
42000,1.410895,0.00027540035,0.17091991,0.04596488,0.5503187,5.522000219672918,2.282684311270714,17.351905673742294,5.522000188939273,2482.0
44000,1.4111066,0.0002742003,-0.0006978202,0.04063633,0.5558616,-0.7462195195257664,0.26069750636816025,2.154087096452713,-0.7462195281405002,340.0
46000,1.4099238,0.0002730003,0.022083875,0.042104013,0.59748757,5.522000219672918,2.3048123195767403,19.8368479013443,5.522000188939273,2482.0
48000,1.4104918,0.00027180035,0.15881397,0.055329423,0.67768663,1.3107245427866776,1.0220407495896022,7.608639220396678,1.3107245263333123,1024.0
50000,1.4082025,0.0002706003,0.029651025,0.044969484,0.61455536,-0.384729478508234,0.2970000884185235,3.0213016470273337,-0.3847294955824812,476.6666666666667
52000,1.4046581,0.00026940033,0.1455347,0.06518398,0.6307329,0.1365356110036373,0.3353052847087383,5.1777773797512054,0.13653561240062118,726.0
54000,1.4030718,0.00026820033,0.05494084,0.065973535,0.6241065,1.3275820674995582,1.161383190502723,8.148297637701035,1.3275820617564023,1031.3333333333333
56000,1.4024675,0.00026700032,-0.024494784,0.062395245,0.67858756,0.2721974228819211,0.6756426679591337,7.893894255161285,0.27219741325825453,820.3333333333334
58000,1.3992307,0.00026580034,0.114688225,0.09258964,0.75095075,-0.8919620936115583,0.32330852809051674,1.562829504410426,-0.8919620760716498,270.3333333333333
60000,1.3953134,0.00026460033,0.22914714,0.10416921,0.75624967,5.522000219672918,2.502068903297186,28.357674479484558,5.522000188939273,2482.0
62000,1.3953903,0.00026340032,-0.019967467,0.06080533,0.70753205,0.00675584003329277,0.3572229277342558,7.600360977463424,0.006755835842341185,686.0
64000,1.3964651,0.00026220037,-0.04103305,0.06314006,0.7678621,-0.8857857796053091,0.19821511395275593,1.2052200337251027,-0.8857857713786265,262.6666666666667
66000,1.3986511,0.00026100033,-0.029861156,0.057344265,0.7509059,3.1685588024556637,1.0435467846691608,14.356986671686172,3.1685588292311877,2221.0
68000,1.3989564,0.00025980032,1.1214877e-05,0.07094039,0.63516474,1.2636026019851367,1.1889459248632193,4.283403965334098,1.2636025918958087,1002.3333333333334
70000,1.3985726,0.0002586003,0.0032071443,0.072762236,0.6184118,-0.35923879127949476,0.23514616675674915,2.155368974432349,-0.3592387959943153,489.75
72000,1.4013848,0.00025740033,-0.012320091,0.064812884,0.5825926,0.05388351033131281,0.3083665110170841,2.616295024752617,0.05388349830172956,708.6666666666666
74000,1.4001533,0.00025620032,-0.01864128,0.07025485,0.61667395,-0.8548012413084507,0.12707762466743588,0.9761261604726315,-0.8548012350220233,276.0
76000,1.4009606,0.00025500034,0.07801821,0.084391154,0.6634982,2.6410918943583965,0.7513084793463349,10.837058246135712,2.641091884463094,1528.0
78000,1.4012986,0.00025380033,0.08900771,0.08113119,0.6700269,None,None,None,None,None
80000,1.4046108,0.00025260032,0.061487634,0.056138463,0.6785033,1.972346719354391,0.6527155507355928,9.104254034658274,1.9723466956832756,1324.6666666666667
82000,1.4058977,0.00025140034,0.22977331,0.07199283,0.60289437,None,None,None,None,None
84000,1.4058291,0.00025020033,0.17315476,0.051316943,0.6818812,5.522000219672918,1.1853761859238148,16.809859335422516,5.522000188939273,2482.0
